Nombre,Apellido_Paterno,Apellido Materno,Fecha de nacimiento,Sexo,Estado,Curp
KARLA,RUIZ,NUNEZ,48/06/18,M,JA,RUNK48/06/18MJAZNR94
BALTASAR,JIMENEZ,VELAZQUEZ,91/12/22,H,QR,JIVB91/12/22HQRMLL05
HERNAN,TORO,REYES,54/02/08,H,MI,TORH54/02/08HMIRYR99
EMILIANO,REYES,BARAJAS,89/05/10,H,NA,REBE89/05/10HNAYRM46
DAVID,ARANDA,MALDONADO,99/09/11,H,YU,AAMD99/09/11HYURLV40
BRANDON,IBARRA,FRANCO,55/01/09,H,SL,IAFB55/01/09HSLBRR88
ERIKA,JIMENEZ,ROBLES,60/01/25,M,CM,JIRE60/01/25MCMMBR19
BERENICE,JIMENEZ,VALDEZ,80/04/17,M,AG,JIVB80/04/17MAGMLR85
DANNA,ALVAREZ,MEJIA,83/09/22,M,SL,AAMD83/09/22MSLLJN12
EUGENIA,BRAVO,ROBLES,85/09/05,M,CH,BARE85/09/05MCHRBG12
ERICK,BUSTOS,GUZMAN,58/08/17,H,BS,BUGE58/08/17HBSSZR75
JOSEFINA,BARRERA,BUSTOS,66/01/31,M,MI,BABJ66/01/31MMIRSS50
FLOR,GOMEZ,RAMOS,66/05/04,M,JA,GORF66/05/04MJAMML97
EDUARDO,ARANDA,MORALES,94/11/07,H,MO,AAME94/11/07HMORRD24
GLORIA,MEJIA,ZUNIGA,97/01/25,M,SL,MEZG97/01/25MSLJNL31
CECILIA,DELGADO,ARANDA,67/12/14,M,GT,DEAC67/12/14MGTLRC75
FRANCISCO,MONTOYA,CASTILLO,89/09/14,H,CX,MOCF89/09/14HCXNSR71
ELIZABETH,ROJAS,CHAVEZ,51/05/03,M,TL,ROCE51/05/03MTLJHL41
EUGENIA,RAMOS,AGUILAR,69/11/03,M,DG,RAAE69/11/03MDGMGG10
JACOBO,FRANCO,RUIZ,65/10/16,H,PU,FARJ65/10/16HPURZC39
GENOVEVA,GUTIERREZ,LOZANO,67/01/05,M,SR,GULG67/01/05MSRTZN97
ALMA,MARTINEZ,CAMACHO,48/11/01,M,BS,MACA48/11/01MBSRML29
JAZMÍN,ZUNIGA,TREVINO,95/07/23,M,QT,ZUTJ95/07/23MQTNRZ34
CAROLINA,CHAVEZ,REYES,78/12/28,M,CS,CARC78/12/28MCSHYR48
NICOLAS,JIMENEZ,HERNANDEZ,97/09/25,H,TB,JIHN97/09/25HTBMRC97
FABIOLA,MEJIA,VAZQUEZ,52/04/11,M,GR,MEVF52/04/11MGRJZB53
CARLA,MIRANDA,NUNEZ,97/07/05,M,CL,MINC97/07/05MCLRNR20
BRIANA,CHAVEZ,CISNEROS,82/11/09,M,YU,CACB82/11/09MYUHSR27
FACUNDO,ALVARADO,CAMACHO,93/10/03,H,GT,AACF93/10/03HGTLMC01
DEBORA,TORRES,DIAZ,98/09/18,M,QT,TODD98/09/18MQTRZB76
JAVIER,ESCOBAR,CHAVEZ,69/02/24,H,QT,EOCJ69/02/24HQTSHV95
BRIANA,TREVINO,MORENO,82/05/04,M,CL,TEMB82/05/04MCLRRR77
BERENICE,RODRIGUEZ,MENDOZA,66/10/29,M,AG,ROMB66/10/29MAGDNR44
EVELYN,MALDONADO,VALENCIA,49/09/09,M,EM,MAVE49/09/09MEMLLV14
DAFNE,MENDEZ,CHAVEZ,49/11/09,M,NL,MECD49/11/09MNLNHF28
DIEGO,ROMERO,ARANDA,05/06/16,H,EM,ROAD05/06/16HEMMRG11
GLORIA,ZUNIGA,CARRILLO,64/08/28,M,TM,ZUCG64/08/28MTMNRL68
FABIOLA,BRAVO,DE LA TORRE,68/06/03,M,PU,BADF68/06/03MPURLB02
ANGELICA,VALENCIA,ESCOBAR,61/08/12,M,MI,VAEA61/08/12MMILSN62
ENRIQUE,CISNEROS,ALVAREZ,70/12/26,H,TB,CIAE70/12/26HTBSLN05
PEDRO,SALAZAR,VAZQUEZ,61/02/06,H,EM,SAVP61/02/06HEMLZD02
CLAUDIA,RUIZ,VELAZQUEZ,62/08/10,M,BC,RUVC62/08/10MBCZLL46
ERIKA,TORO,RANGEL,88/07/15,M,QR,TORE88/07/15MQRRNR34
JIMENA,PEREZ,LOAIZA,74/09/20,M,CS,PELJ74/09/20MCSRZM96
BALTASAR,CUEVAS,FRANCO,89/03/15,H,QT,CUFB89/03/15HQTVRL14
ADRIANA,RODRIGUEZ,ESQUIVEL,07/03/28,M,QT,ROEA07/03/28MQTDSD30
LUCIA,BARRERA,SALAZAR,71/02/21,M,CH,BASL71/02/21MCHRLC91
GENOVEVA,TOVAR,ROBLES,87/11/09,M,DG,TORG87/11/09MDGVBN00
BERENICE,RIOS,MIRANDA,04/03/01,M,SL,RIMB04/03/01MSLSRR62
JACQUELINE,GALVAN,CRUZ,59/07/18,M,BS,GACJ59/07/18MBSLRC38
CAROLINA,VALDEZ,ARANDA,86/02/28,M,TL,VAAC86/02/28MTLLRR88
OSCAR,ROJAS,ARANDA,53/03/28,H,CM,ROAO53/03/28HCMJRS20
ADRIANA,TOVAR,LARA,05/06/05,M,CS,TOLA05/06/05MCSVRD86
DANNA,DE LA TORRE,VAZQUEZ,69/05/25,M,CS,DEVD69/05/25MCSLZN29
RAUL,OBREGON,AGUILAR,47/02/01,H,TM,OEAR47/02/01HTMBGL19
ADAN,ALVARADO,DE LA CRUZ,68/06/05,H,CH,AADA68/06/05HCHLLD29
DARIO,DELGADO,ROMERO,01/11/26,H,GR,DERD01/11/26HGRLMR94
EUSTAQUIO,RAMOS,LOZANO,07/08/08,H,TM,RALE07/08/08HTMMZS97
JOSE,TORRES,MENDOZA,01/01/18,H,NL,TOMJ01/01/18HNLRNS87
CLARA,PEREZ,BARAJAS,76/09/06,M,BC,PEBC76/09/06MBCRRL37
NICOLAS,CASTILLO,ARANDA,46/09/21,H,DG,CAAN46/09/21HDGSRC76
CRISTOBAL,CERVANTES,PEREZ,03/01/29,H,CO,CEPC03/01/29HCORRR71
FERNANDO,REYES,VAZQUEZ,52/09/04,H,ZA,REVF52/09/04HZAYZR41
FATIMA,VILLALOBOS,TORRES,87/11/24,M,CH,VITF87/11/24MCHLRT00
ARACELI,DELGADO,SALAZAR,70/09/07,M,CH,DESA70/09/07MCHLLR14
CRISTOBAL,DE LA CRUZ,ORTIZ,60/08/24,H,CS,DEOC60/08/24HCSLRR55
ILIANA,DE LA CRUZ,VILLALPANDO,56/01/03,M,GT,DEVI56/01/03MGTLLL73
JOSEFINA,RAMIREZ,SOLIS,51/02/25,M,SL,RASJ51/02/25MSLMLS56
FLOR,AVILA,TOVAR,69/06/08,M,CM,AITF69/06/08MCMVVL29
ALFONSO,ROSAS,FRANCO,68/08/02,H,SL,ROFA68/08/02HSLSRL02
BEATRIZ,ROMERO,ARANDA,97/02/04,M,SR,ROAB97/02/04MSRMRT77
JORGE,ESCAMILLA,CRUZ,96/06/11,H,AG,EACJ96/06/11HAGSRR71
ENRIQUE,CISNEROS,DIAZ,49/08/22,H,SL,CIDE49/08/22HSLSZN68
AXEL,RUIZ,VALENCIA,78/04/04,H,OA,RUVA78/04/04HOAZLX72
